ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:27:11"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     109.56627
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.96319E-002
  4.00000E-004	  3.42049E-002
  6.00000E-004	  2.50440E-002
  8.00000E-004	  2.64845E-002
  1.00000E-003	  2.43726E-002
  1.20000E-003	  1.94495E-002
  1.40000E-003	  2.08761E-002
  1.60000E-003	  2.81069E-002
  1.80000E-003	  2.55335E-002
  2.00000E-003	  2.39670E-002
  2.20000E-003	  1.97152E-002
  2.40000E-003	  1.89040E-002
  2.60000E-003	  2.67223E-002
  2.80000E-003	  2.06103E-002
  3.00000E-003	  2.40929E-002
  3.20000E-003	  2.27159E-002
  3.60000E-003	  2.45341E-002
  4.00000E-003	  2.08487E-002
  4.40000E-003	  2.08141E-002
  4.80000E-003	  1.81917E-002
  5.20000E-003	  1.87302E-002
  5.60000E-003	  2.07372E-002
  6.00000E-003	  1.70029E-002
  6.40000E-003	  2.24463E-002
  7.20000E-003	  2.03589E-002
  8.00000E-003	  2.12191E-002
  8.80000E-003	  1.50791E-002
  9.60000E-003	  2.11072E-002
  1.04000E-002	  1.87225E-002
  1.12000E-002	  2.09044E-002
  1.20000E-002	  1.68592E-002
  1.28000E-002	  1.76076E-002
  1.44000E-002	  1.61323E-002
  1.60000E-002	  1.76603E-002
  1.76000E-002	  1.56760E-002
  1.92000E-002	  1.61900E-002
  2.08000E-002	  1.75065E-002
  2.24000E-002	  1.58753E-002
  2.40000E-002	  1.51498E-002
  2.56000E-002	  1.45012E-002
  2.88000E-002	  1.56489E-002
  3.20000E-002	  1.50443E-002
  3.52000E-002	  1.21474E-002
  3.84000E-002	  1.31229E-002
  4.16000E-002	  1.26565E-002
  4.48000E-002	  1.20915E-002
  4.80000E-002	  1.28182E-002
  5.12000E-002	  1.22809E-002
  5.76000E-002	  1.07856E-002
  6.40000E-002	  9.58084E-003
  7.04000E-002	  9.81074E-003
  7.68000E-002	  8.74236E-003
  8.32000E-002	  7.09823E-003
  8.96000E-002	  7.71943E-003
  9.60000E-002	  6.44175E-003
