ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:28:42"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     109.95619
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  9.30701E-002
  4.00000E-004	  3.83132E-002
  6.00000E-004	  2.56481E-002
  8.00000E-004	  2.55925E-002
  1.00000E-003	  1.90239E-002
  1.20000E-003	  2.90504E-002
  1.40000E-003	  2.28984E-002
  1.60000E-003	  2.47315E-002
  1.80000E-003	  1.71075E-002
  2.00000E-003	  2.19263E-002
  2.20000E-003	  2.40927E-002
  2.40000E-003	  2.18014E-002
  2.60000E-003	  2.24402E-002
  2.80000E-003	  2.81894E-002
  3.00000E-003	  2.08709E-002
  3.20000E-003	  2.23632E-002
  3.60000E-003	  2.41338E-002
  4.00000E-003	  2.09397E-002
  4.40000E-003	  1.82387E-002
  4.80000E-003	  2.13289E-002
  5.20000E-003	  2.46757E-002
  5.60000E-003	  1.74683E-002
  6.00000E-003	  2.46479E-002
  6.40000E-003	  2.31437E-002
  7.20000E-003	  2.14981E-002
  8.00000E-003	  2.04426E-002
  8.80000E-003	  1.85922E-002
  9.60000E-003	  2.14356E-002
  1.04000E-002	  1.89674E-002
  1.12000E-002	  1.98180E-002
  1.20000E-002	  1.97417E-002
  1.28000E-002	  1.80484E-002
  1.44000E-002	  1.77185E-002
  1.60000E-002	  1.85205E-002
  1.76000E-002	  1.81265E-002
  1.92000E-002	  1.55351E-002
  2.08000E-002	  1.68332E-002
  2.24000E-002	  1.78887E-002
  2.40000E-002	  1.79546E-002
  2.56000E-002	  1.51503E-002
  2.88000E-002	  1.55952E-002
  3.20000E-002	  1.40040E-002
  3.52000E-002	  1.53614E-002
  3.84000E-002	  1.35700E-002
  4.16000E-002	  1.36016E-002
  4.48000E-002	  1.35495E-002
  4.80000E-002	  1.26842E-002
  5.12000E-002	  1.20630E-002
  5.76000E-002	  9.99007E-003
  6.40000E-002	  1.08546E-002
  7.04000E-002	  1.01969E-002
  7.68000E-002	  9.55691E-003
  8.32000E-002	  9.13161E-003
  8.96000E-002	  9.44910E-003
  9.60000E-002	  8.77471E-003
  1.02400E-001	  8.38210E-003
  1.15200E-001	  7.68882E-003
  1.28000E-001	  7.93684E-003
  1.40800E-001	  6.16125E-003
  1.53600E-001	  7.56136E-003
  1.66400E-001	  6.84933E-003
  1.79200E-001	  6.43358E-003
  1.92000E-001	  6.72492E-003
  2.04800E-001	  5.34430E-003
  2.30400E-001	  5.15848E-003
  2.56000E-001	  4.55306E-003
  2.81600E-001	  4.39709E-003
  3.07200E-001	  4.05090E-003
  3.32800E-001	  3.56813E-003
  3.58400E-001	  3.20970E-003
  3.84000E-001	  4.41095E-003
  4.09600E-001	  4.01176E-003
  4.60800E-001	  3.12136E-003
  5.12000E-001	  2.65701E-003
  5.63200E-001	  2.56740E-003
  6.14400E-001	  2.70289E-003
  6.65600E-001	  2.60399E-003
  7.16800E-001	  2.35012E-003
  7.68000E-001	  2.36857E-003
  8.19200E-001	  2.52966E-003
  9.21600E-001	  2.35924E-003
  1.02400E+000	  1.97346E-003
  1.12640E+000	  2.05160E-003
  1.22880E+000	  1.77694E-003
  1.33120E+000	  1.85848E-003
  1.43360E+000	  1.92419E-003
  1.53600E+000	  1.62860E-003
  1.63840E+000	  1.49949E-003
  1.84320E+000	  1.49330E-003
  2.04800E+000	  1.64339E-003
  2.25280E+000	  1.34270E-003
  2.45760E+000	  1.25087E-003
  2.66240E+000	  1.04734E-003
  2.86720E+000	  1.16068E-003
  3.07200E+000	  1.21139E-003
  3.22560E+000	  1.29341E-003
  3.63520E+000	  1.34012E-003
  4.04480E+000	  1.16384E-003
