ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:28:12"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     110.10331
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  9.09280E-002
  4.00000E-004	  3.27854E-002
  6.00000E-004	  3.06387E-002
  8.00000E-004	  3.50568E-002
  1.00000E-003	  1.94201E-002
  1.20000E-003	  3.02093E-002
  1.40000E-003	  2.22317E-002
  1.60000E-003	  2.60404E-002
  1.80000E-003	  1.93093E-002
  2.00000E-003	  2.42399E-002
  2.20000E-003	  2.37967E-002
  2.40000E-003	  2.05558E-002
  2.60000E-003	  1.77027E-002
  2.80000E-003	  1.62900E-002
  3.00000E-003	  2.16223E-002
  3.20000E-003	  2.29711E-002
  3.60000E-003	  2.44112E-002
  4.00000E-003	  2.08033E-002
  4.40000E-003	  2.12049E-002
  4.80000E-003	  2.47924E-002
  5.20000E-003	  2.16069E-002
  5.60000E-003	  2.15927E-002
  6.00000E-003	  1.80748E-002
  6.40000E-003	  1.77679E-002
  7.20000E-003	  1.81938E-002
  8.00000E-003	  1.73143E-002
  8.80000E-003	  1.94371E-002
  9.60000E-003	  2.30035E-002
  1.04000E-002	  2.05140E-002
  1.12000E-002	  1.69057E-002
  1.20000E-002	  1.92879E-002
  1.28000E-002	  2.00976E-002
  1.44000E-002	  1.73518E-002
  1.60000E-002	  1.57556E-002
  1.76000E-002	  1.74436E-002
  1.92000E-002	  1.64363E-002
