ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:25:10"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     109.94770
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.40728E-002
  4.00000E-004	  3.25019E-002
  6.00000E-004	  3.00435E-002
  8.00000E-004	  2.15571E-002
  1.00000E-003	  2.20571E-002
  1.20000E-003	  1.97098E-002
  1.40000E-003	  2.02932E-002
  1.60000E-003	  2.33766E-002
  1.80000E-003	  2.12793E-002
  2.00000E-003	  2.28627E-002
  2.20000E-003	  2.30433E-002
  2.40000E-003	  1.74598E-002
  2.60000E-003	  2.11960E-002
  2.80000E-003	  1.68347E-002
  3.00000E-003	  2.23349E-002
  3.20000E-003	  1.62713E-002
  3.60000E-003	  1.89103E-002
  4.00000E-003	  2.13270E-002
  4.40000E-003	  2.01256E-002
  4.80000E-003	  2.03964E-002
  5.20000E-003	  1.66602E-002
  5.60000E-003	  1.97367E-002
  6.00000E-003	  1.72922E-002
  6.40000E-003	  2.15113E-002
  7.20000E-003	  1.70456E-002
  8.00000E-003	  2.20527E-002
  8.80000E-003	  1.88061E-002
  9.60000E-003	  1.61081E-002
  1.04000E-002	  1.72435E-002
  1.12000E-002	  1.68928E-002
  1.20000E-002	  1.73480E-002
  1.28000E-002	  1.92120E-002
  1.44000E-002	  1.64240E-002
  1.60000E-002	  1.70244E-002
  1.76000E-002	  1.66963E-002
  1.92000E-002	  1.62831E-002
  2.08000E-002	  1.58525E-002
  2.24000E-002	  1.57570E-002
  2.40000E-002	  1.49257E-002
  2.56000E-002	  1.42817E-002
  2.88000E-002	  1.39700E-002
  3.20000E-002	  1.41931E-002
  3.52000E-002	  1.38207E-002
  3.84000E-002	  1.35589E-002
  4.16000E-002	  1.32591E-002
  4.48000E-002	  1.17964E-002
  4.80000E-002	  1.06856E-002
  5.12000E-002	  1.02759E-002
  5.76000E-002	  1.07213E-002
  6.40000E-002	  9.77997E-003
  7.04000E-002	  8.08419E-003
  7.68000E-002	  9.46703E-003
  8.32000E-002	  7.22449E-003
  8.96000E-002	  8.02789E-003
  9.60000E-002	  7.37281E-003
  1.02400E-001	  7.60209E-003
  1.15200E-001	  6.29081E-003
  1.28000E-001	  5.92529E-003
  1.40800E-001	  5.24802E-003
  1.53600E-001	  5.77636E-003
  1.66400E-001	  5.63326E-003
  1.79200E-001	  4.65643E-003
  1.92000E-001	  4.93318E-003
  2.04800E-001	  4.75564E-003
  2.30400E-001	  4.18765E-003
  2.56000E-001	  3.95134E-003
  2.81600E-001	  3.32691E-003
  3.07200E-001	  3.36386E-003
  3.32800E-001	  3.89303E-003
  3.58400E-001	  2.78046E-003
  3.84000E-001	  2.09946E-003
  4.09600E-001	  2.50550E-003
  4.60800E-001	  1.95027E-003
  5.12000E-001	  1.62465E-003
  5.63200E-001	  1.64507E-003
  6.14400E-001	  1.67710E-003
  6.65600E-001	  1.19485E-003
  7.16800E-001	  1.28046E-003
  7.68000E-001	  7.32586E-004
  8.19200E-001	  1.05650E-003
  9.21600E-001	  8.67073E-004
  1.02400E+000	  1.27284E-003
  1.12640E+000	  9.62515E-004
  1.22880E+000	  8.55642E-004
  1.33120E+000	  8.57042E-004
  1.43360E+000	  7.67743E-004
  1.53600E+000	  6.03299E-004
  1.63840E+000	  7.02642E-004
  1.84320E+000	  3.81808E-004
  2.04800E+000	  3.90467E-004
  2.25280E+000	  4.27271E-004
  2.45760E+000	  3.61140E-004
  2.66240E+000	  4.37309E-004
  2.86720E+000	  4.16576E-004
  3.07200E+000	  1.72975E-004
  3.22560E+000	  3.05868E-004
  3.63520E+000	  3.54957E-004
  4.04480E+000	  3.43220E-004
  4.45440E+000	  9.79096E-005
  4.86400E+000	  2.56576E-005
  5.27360E+000	  4.24099E-004
  5.68320E+000	  1.62190E-004
  6.09280E+000	  1.25136E-004
  6.50240E+000	  1.84325E-004
  7.32160E+000	  1.49295E-004
  8.14080E+000	  1.09902E-004
  8.96000E+000	  5.89199E-005
  9.77920E+000	 -1.11943E-005
  1.05984E+001	  1.76619E-004
  1.14176E+001	  7.95258E-005
  1.22368E+001	 -4.66234E-005
  1.30560E+001	  5.24425E-005
  1.46944E+001	  4.65216E-005
  1.63328E+001	  2.07388E-005
  1.79712E+001	 -1.10188E-004
  1.96096E+001	  4.01397E-005
  2.12480E+001	  3.01911E-005
  2.28864E+001	  6.88023E-005
  2.45248E+001	 -9.67053E-005
  2.61632E+001	 -6.75969E-007
  2.94400E+001	  1.16786E-005
  3.27168E+001	  6.42552E-005
  3.59936E+001	 -3.08526E-005
  3.92704E+001	  3.57000E-005
  4.25472E+001	 -2.15968E-005
  4.58240E+001	  2.35001E-005
  4.91008E+001	  1.91630E-005
  5.23776E+001	  2.04572E-005
  5.89312E+001	  1.07407E-005
  6.54848E+001	 -1.63462E-004
  7.20384E+001	 -5.79891E-005
  7.85920E+001	 -4.00412E-005
  8.51456E+001	  2.04163E-005
  9.16992E+001	  6.17482E-007
  9.82528E+001	 -6.37707E-005
  1.04806E+002	 -1.93277E-005
  1.17914E+002	  3.88540E-006
  1.31021E+002	  2.89133E-005
  1.44128E+002	  1.34827E-005
  1.57235E+002	  3.38608E-006
  1.70342E+002	 -2.06479E-005
  1.83450E+002	  4.59446E-005
  1.96557E+002	 -1.68731E-005
  2.09664E+002	  3.16052E-007
  2.35878E+002	  2.98199E-005
  2.62093E+002	  3.46583E-005
  2.88307E+002	  2.43714E-005
  3.14522E+002	  2.85542E-006
  3.40736E+002	 -2.83210E-005
  3.66950E+002	 -2.52677E-006
  3.93165E+002	 -6.73517E-006
  4.19379E+002	 -2.83608E-007
  4.71808E+002	 -8.76716E-006
  5.24237E+002	 -1.28846E-006
  5.76666E+002	 -2.74484E-005
  6.29094E+002	 -1.06937E-006
  6.81523E+002	  1.23898E-005
  7.33952E+002	 -2.39831E-005
  7.86381E+002	  6.50203E-006
  8.38810E+002	  1.11797E-005
  9.43667E+002	 -7.84906E-006
  1.04852E+003	 -5.63234E-006
  1.15338E+003	  1.34748E-005
  1.25824E+003	 -5.84040E-006
  1.36310E+003	  5.71404E-006
  1.46796E+003	  3.31507E-006
  1.57281E+003	 -4.32613E-006
  1.67767E+003	 -8.67989E-006
  1.88739E+003	  1.05351E-005
  2.09710E+003	 -9.47122E-006
  2.30682E+003	  2.00545E-005
  2.51653E+003	 -1.23990E-006
  2.72625E+003	 -3.67099E-006
  2.93596E+003	 -7.97701E-006
  3.14568E+003	 -1.45015E-005
  3.35539E+003	 -1.01077E-005
  3.77482E+003	 -6.54483E-006
  4.19425E+003	  1.13063E-005
  4.61368E+003	  1.70133E-006
  5.03311E+003	  1.99463E-007
  5.45254E+003	 -2.60215E-006
  5.87197E+003	 -4.09672E-006
  6.29140E+003	 -5.53395E-007

"Count Rate"
       0.11719	     109.23159
       0.23438	     108.59989
       0.35156	     111.47665
       0.46875	     107.60967
       0.58594	     108.12186
       0.70313	     110.17059
       0.82031	     108.97549
       0.93750	     110.60594
       1.05469	     109.74377
       1.17188	     111.54494
       1.28906	     110.50351
       1.40625	     108.33527
       1.52344	     110.59741
       1.64063	     109.12915
       1.75781	     109.34256
       1.87500	     108.72794
       1.99219	     111.16935
       2.10938	     107.99381
       2.22656	     112.18517
       2.34375	     111.34861
       2.46094	     110.12791
       2.57813	     110.50351
       2.69531	     112.05713
       2.81250	     110.92179
       2.92969	     110.39253
       3.04688	     107.88284
       3.16406	     111.42544
       3.28125	     110.68277
       3.39844	     108.59989
       3.51563	     109.82913
       3.63281	     109.24012
       3.75000	     110.59741
       3.86719	     112.27908
       3.98438	     111.42544
       4.10156	     112.08274
       4.21875	     110.70838
       4.33594	     107.07188
       4.45313	     108.33527
       4.57031	     111.00716
       4.68750	     109.28281
       4.80469	     110.84496
       4.92188	     109.53889
       5.03906	     108.13893
       5.15625	     110.91325
       5.27344	     111.31447
       5.39063	     107.44748
       5.50781	     109.18037
       5.62500	     107.64382
       5.74219	     106.53409
       5.85938	     107.89137
       5.97656	     111.41690
       6.09375	     110.66570
       6.21094	     111.41690
       6.32813	     110.99862
       6.44531	     112.18517
       6.56250	     108.40356
       6.67969	     112.04859
       6.79688	     109.49622
       6.91406	     108.02795
       7.03125	     111.72421
       7.14844	     108.51453
       7.26563	     110.68277
       7.38281	     107.76333
       7.50000	     108.73647
       7.61719	     108.83038
       7.73438	     110.81935
       7.85156	     108.89013
       7.96875	     109.29988
       8.08594	     109.94865
       8.20313	     109.62426
       8.32031	     110.63155
       8.43750	     111.82664
       8.55469	     111.74129
       8.67188	     109.42793
       8.78906	     110.04254
       8.90625	     109.31695
       9.02344	     110.17059
       9.14063	     112.80833
       9.25781	     106.02190
       9.37500	     111.77543
       9.49219	     112.39858
       9.60938	     109.00111
       9.72656	     110.01694
       9.84375	     110.23888
       9.96094	     108.47185
      10.07813	     109.91450
      10.19531	     109.70963
