ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:24:09"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     110.65171
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  9.02322E-002
  4.00000E-004	  4.07417E-002
  6.00000E-004	  2.69052E-002
  8.00000E-004	  2.04189E-002
  1.00000E-003	  2.55887E-002
  1.20000E-003	  1.81562E-002
  1.40000E-003	  2.02543E-002
  1.60000E-003	  2.22976E-002
  1.80000E-003	  1.78271E-002
  2.00000E-003	  1.97881E-002
  2.20000E-003	  2.09948E-002
  2.40000E-003	  2.28598E-002
  2.60000E-003	  2.03503E-002
  2.80000E-003	  2.12828E-002
  3.00000E-003	  1.83208E-002
  3.20000E-003	  2.02269E-002
  3.60000E-003	  1.91093E-002
  4.00000E-003	  1.86499E-002
  4.40000E-003	  1.92944E-002
  4.80000E-003	  2.13788E-002
  5.20000E-003	  1.94452E-002
  5.60000E-003	  2.15365E-002
  6.00000E-003	  2.14268E-002
  6.40000E-003	  1.95328E-002
  7.20000E-003	  1.80792E-002
  8.00000E-003	  1.62180E-002
  8.80000E-003	  1.80144E-002
  9.60000E-003	  1.94577E-002
  1.04000E-002	  1.74967E-002
  1.12000E-002	  2.08222E-002
  1.20000E-002	  2.05376E-002
  1.28000E-002	  1.79530E-002
  1.44000E-002	  1.90695E-002
  1.60000E-002	  1.90318E-002
  1.76000E-002	  1.63098E-002
  1.92000E-002	  1.77651E-002
  2.08000E-002	  1.47122E-002
  2.24000E-002	  1.72011E-002
  2.40000E-002	  1.73520E-002
  2.56000E-002	  1.59233E-002
  2.88000E-002	  1.28750E-002
  3.20000E-002	  1.33981E-002
  3.52000E-002	  1.33427E-002
  3.84000E-002	  1.25397E-002
  4.16000E-002	  1.22483E-002
  4.48000E-002	  1.42572E-002
  4.80000E-002	  1.29245E-002
  5.12000E-002	  1.17720E-002
  5.76000E-002	  9.90156E-003
  6.40000E-002	  9.79571E-003
  7.04000E-002	  8.75063E-003
  7.68000E-002	  9.40194E-003
  8.32000E-002	  7.46550E-003
  8.96000E-002	  7.78446E-003
  9.60000E-002	  6.52155E-003
  1.02400E-001	  7.33397E-003
  1.15200E-001	  7.14657E-003
  1.28000E-001	  6.32669E-003
  1.40800E-001	  5.46682E-003
  1.53600E-001	  6.13427E-003
  1.66400E-001	  5.51109E-003
  1.79200E-001	  4.96513E-003
  1.92000E-001	  4.55661E-003
  2.04800E-001	  3.99158E-003
  2.30400E-001	  4.30787E-003
  2.56000E-001	  3.51210E-003
  2.81600E-001	  3.92463E-003
  3.07200E-001	  3.07393E-003
  3.32800E-001	  3.84409E-003
  3.58400E-001	  3.22808E-003
