ALV-5000/E-WIN Data
Date :	"29/06/18"
Time :	"08:25:40"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     109.29853
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.39759E-002
  4.00000E-004	  3.68501E-002
  6.00000E-004	  3.32381E-002
  8.00000E-004	  2.30624E-002
  1.00000E-003	  2.81924E-002
  1.20000E-003	  2.92605E-002
  1.40000E-003	  2.87124E-002
  1.60000E-003	  2.07855E-002
  1.80000E-003	  2.31748E-002
  2.00000E-003	  1.93238E-002
  2.20000E-003	  2.68431E-002
  2.40000E-003	  2.60982E-002
  2.60000E-003	  2.37230E-002
  2.80000E-003	  1.89162E-002
  3.00000E-003	  1.46857E-002
  3.20000E-003	  1.85336E-002
  3.60000E-003	  1.87866E-002
  4.00000E-003	  2.19911E-002
  4.40000E-003	  2.08526E-002
  4.80000E-003	  2.20473E-002
  5.20000E-003	  2.11970E-002
  5.60000E-003	  2.29609E-002
  6.00000E-003	  2.22722E-002
  6.40000E-003	  2.36828E-002
  7.20000E-003	  1.74179E-002
  8.00000E-003	  1.93677E-002
  8.80000E-003	  1.49126E-002
  9.60000E-003	  1.85036E-002
  1.04000E-002	  1.66382E-002
  1.12000E-002	  2.26536E-002
  1.20000E-002	  2.11111E-002
  1.28000E-002	  1.83973E-002
  1.44000E-002	  1.82251E-002
  1.60000E-002	  1.63625E-002
  1.76000E-002	  1.67596E-002
  1.92000E-002	  1.61675E-002
  2.08000E-002	  1.66753E-002
  2.24000E-002	  1.66662E-002
  2.40000E-002	  1.69279E-002
  2.56000E-002	  1.50291E-002
  2.88000E-002	  1.53243E-002
  3.20000E-002	  1.38968E-002
  3.52000E-002	  1.36342E-002
  3.84000E-002	  1.27677E-002
  4.16000E-002	  1.33405E-002
  4.48000E-002	  1.37885E-002
  4.80000E-002	  1.23338E-002
  5.12000E-002	  1.04868E-002
  5.76000E-002	  9.91794E-003
  6.40000E-002	  1.08186E-002
  7.04000E-002	  9.66237E-003
  7.68000E-002	  9.63496E-003
  8.32000E-002	  7.90801E-003
  8.96000E-002	  8.84917E-003
  9.60000E-002	  7.30229E-003
  1.02400E-001	  7.80551E-003
  1.15200E-001	  6.34682E-003
  1.28000E-001	  5.90301E-003
  1.40800E-001	  5.39007E-003
  1.53600E-001	  6.23215E-003
  1.66400E-001	  5.26208E-003
  1.79200E-001	  5.08051E-003
  1.92000E-001	  4.51438E-003
  2.04800E-001	  4.17668E-003
  2.30400E-001	  4.03345E-003
  2.56000E-001	  3.53548E-003
  2.81600E-001	  2.96506E-003
  3.07200E-001	  3.07930E-003
  3.32800E-001	  2.77390E-003
  3.58400E-001	  2.91776E-003
  3.84000E-001	  2.30118E-003
  4.09600E-001	  2.32692E-003
  4.60800E-001	  1.99274E-003
  5.12000E-001	  2.02784E-003
  5.63200E-001	  2.17543E-003
  6.14400E-001	  1.51676E-003
  6.65600E-001	  1.30104E-003
  7.16800E-001	  1.18622E-003
  7.68000E-001	  1.31881E-003
  8.19200E-001	  1.21315E-003
  9.21600E-001	  1.13208E-003
  1.02400E+000	  8.76184E-004
  1.12640E+000	  1.24707E-003
  1.22880E+000	  8.98091E-004
  1.33120E+000	  7.00311E-004
  1.43360E+000	  7.25028E-004
  1.53600E+000	  3.20831E-004
  1.63840E+000	  5.71324E-004
  1.84320E+000	  3.78379E-004
  2.04800E+000	  3.76852E-004
  2.25280E+000	  3.66904E-004
  2.45760E+000	  3.15851E-004
  2.66240E+000	  4.21756E-004
  2.86720E+000	  8.38573E-005
  3.07200E+000	  2.95782E-004
  3.22560E+000	  2.67424E-004
  3.63520E+000	  3.53787E-004
  4.04480E+000	  1.15911E-004
  4.45440E+000	  1.19163E-004
  4.86400E+000	  4.80814E-005
  5.27360E+000	  1.40053E-004
  5.68320E+000	  1.48456E-004
  6.09280E+000	 -1.18515E-005
  6.50240E+000	  1.91898E-006
  7.32160E+000	  1.51692E-005
  8.14080E+000	  3.64941E-005
  8.96000E+000	  6.62869E-005
  9.77920E+000	  1.96140E-005
  1.05984E+001	  9.60905E-005
  1.14176E+001	  1.91428E-004
  1.22368E+001	  7.22749E-005
  1.30560E+001	  1.61943E-005
  1.46944E+001	 -7.37541E-005
  1.63328E+001	 -7.38268E-005
  1.79712E+001	 -5.08929E-006
  1.96096E+001	  1.78757E-005
  2.12480E+001	  1.92635E-006
  2.28864E+001	 -6.98246E-005
  2.45248E+001	 -3.24061E-005
  2.61632E+001	 -7.03125E-005
  2.94400E+001	  1.53309E-004
  3.27168E+001	  4.89532E-005
  3.59936E+001	 -4.90708E-005
  3.92704E+001	  7.13919E-005
  4.25472E+001	  3.70243E-006
  4.58240E+001	  3.03779E-005
  4.91008E+001	  1.06277E-004
  5.23776E+001	  4.60563E-005
  5.89312E+001	  2.76032E-005
  6.54848E+001	 -1.45655E-005
  7.20384E+001	 -8.20381E-006
  7.85920E+001	  6.69392E-005
  8.51456E+001	 -3.63505E-005
  9.16992E+001	 -1.93966E-005
  9.82528E+001	  5.75517E-006
  1.04806E+002	 -1.40482E-005
  1.17914E+002	 -2.20782E-005
  1.31021E+002	  6.62806E-006
  1.44128E+002	 -2.72963E-005
  1.57235E+002	 -2.96036E-006
  1.70342E+002	 -3.69695E-005
  1.83450E+002	 -6.39528E-006
  1.96557E+002	 -1.09980E-005
  2.09664E+002	  4.08784E-005
  2.35878E+002	 -1.16227E-005
  2.62093E+002	  2.94155E-006
  2.88307E+002	  6.14271E-005
  3.14522E+002	  2.54184E-005
  3.40736E+002	  2.01189E-006
  3.66950E+002	 -1.03813E-005
  3.93165E+002	 -3.53833E-006
  4.19379E+002	 -9.01545E-006
  4.71808E+002	 -7.38251E-006
  5.24237E+002	 -3.37695E-005
  5.76666E+002	  1.79344E-006
  6.29094E+002	  2.14638E-005
  6.81523E+002	 -5.87312E-006
  7.33952E+002	 -1.58243E-005
  7.86381E+002	  5.26741E-007
  8.38810E+002	  9.60700E-006
  9.43667E+002	  1.78130E-006
  1.04852E+003	  9.83579E-006
  1.15338E+003	  1.06894E-005
  1.25824E+003	  9.68049E-006
  1.36310E+003	 -3.72376E-006
  1.46796E+003	 -6.64843E-006
  1.57281E+003	  4.65422E-006
  1.67767E+003	  3.21914E-006
  1.88739E+003	 -2.62462E-006
  2.09710E+003	  2.83535E-006
  2.30682E+003	 -4.16994E-006
  2.51653E+003	  7.25323E-007
  2.72625E+003	  5.00054E-006
  2.93596E+003	 -3.45267E-006
  3.14568E+003	 -1.29287E-005
  3.35539E+003	 -1.01414E-005
  3.77482E+003	 -1.59670E-006
  4.19425E+003	 -7.88142E-006
  4.61368E+003	 -1.44392E-005
  5.03311E+003	  1.17589E-006
  5.45254E+003	 -4.65672E-006
  5.87197E+003	 -6.95443E-007
  6.29140E+003	  1.83636E-005

"Count Rate"
       0.11719	     111.05837
       0.23438	     109.48768
       0.35156	     109.37671
       0.46875	     108.06210
       0.58594	     109.41085
       0.70313	     106.76457
       0.82031	     109.48768
       0.93750	     108.59136
       1.05469	     110.12791
       1.17188	     111.12666
       1.28906	     107.13164
       1.40625	     107.53284
       1.52344	     109.16330
       1.64063	     107.69504
       1.75781	     109.75230
       1.87500	     108.83038
       1.99219	     108.26698
       2.10938	     107.93406
       2.22656	     107.95966
       2.34375	     107.31090
       2.46094	     108.83891
       2.57813	     108.94135
       2.69531	     109.21452
       2.81250	     110.05962
       2.92969	     111.71568
       3.04688	     107.66089
       3.16406	     109.75230
       3.28125	     109.59012
       3.39844	     110.26449
       3.51563	     112.09128
       3.63281	     107.15724
       3.75000	     110.52912
       3.86719	     109.60719
       3.98438	     110.86204
       4.10156	     110.05962
       4.21875	     110.16206
